,mbti,first_comment,second_comment,third_comment
0,N,어떠한 과정을 거쳐 변화되었는지 주변에 마법사가 생겼는지 찾아본다,피 안빨면 같이 살게 해준다,머리에 물을 준다!
1,N,1.망했,2.망했,3.망했
2,N,1 설마 진짜 기타가 젤리로 변하진 않았을거라고 생각하고 가족들한테 이 장난 누가 친거냐고 물어본다,2 고민해본다,3 사진을 찍은 뒤 살살 당겨보고 괜찮을것같으면 뽑는다
3,N,1. 연주해본다,2. 나를 괴롭히지 않는다는 계약서를 쓴다,3. 물은 어떻게 주지 고민한다
4,S,1.먹는다,2.싫다,3.자른다
5,N,1. 일단 다시 돌아올 수 잇으니 모셔둔다,2. 감금,3. 뽑히나?
6,S,1. 어쩔 수 없다,2. 싫다,3. ㅇㅅㅇ ..
7,N,1.일단 놔둔다,2. 꺼지라고한다,3. 주변사람에게 알린다..
8,N,1. 줄도 젤리인지 먹어본다.,2. 가둬둔다.,3. 꽃인간이 된건가 생각해본다.
9,S,1. 뭔소리지,2. 뭔소리지,3. 뭔소리지
10,N,1. 먹었,2. 꿈에서 깼,3. 태양을 향했
11,S,먹었다,싫다,해바라기다
12,S,다시 기타로 되돌릴 방법을 찾아본다,나를 절대 물지 않을 것이냐는 약속을 받는다,좋다고 사방팔방 자랑하고 다닌다
13,S,기타가 더 비싼데 쫌 손해,모기 가둬놓자..,잘라도 안아픈가? 구조가 어떻게된건지 확인
14,N,1. 딱 한입만 먹어본다,2. 거절하고 유리컵에 가둔다,3. 사진찍고 꺾어서 버린다
15,N,돈 아깝구 짜증난다!,함 싸워본다…,친구한테 자랑한당
16,S,나는 이제 기타가 없다,나는 거절한다,나는 거울을 본다
17,N,나는 너무 슬퍼서 울러버렸다,나는 내 피를 먹지않겠다면 그러자고 했다,나는 다른 사람 정수리에는 어떤 꽃이 폈을지 궁금해졌다
18,N,1 매일 다시돌아오라고 기도한다(아주간절하게ㅠㅠ),2 나 안물면 같이살다가 같이 방송출연할듯,3 물주고 잘키운다 무럭무럭자라야한다~^^
19,S,1. 아 기타값이 얼만데 젤리로 다시 되돌릴 방법 강구하기,"2. 어떻게든 죽여서 없애기 근데 말도 하는 거면 나는 지낼 곳 마련, 모기는 다른 모기들로부터 지켜주기로 딜하기",3. 꺾어서 없애기
20,N,1. 크기는 그대로인가 기타의 기능을 할수있나 생각한다,2. 나도 모기의 모습으로 사는게 조건인건가 생각한가,3. 내 머릿속 어느 부분에 씨가 존재하는가 생각한다
21,N,나는 힝구리퐁퐁이다.,나는 니가 싫다.,나는 싹둑 자를 것이다.
22,S,1. 놔두고 기다린다,2. 싫다고 말한다 ,2. 병원에 간다
23,S,1. 뭐야 이게,2. 미칫나,3. 꿈인가
24,S,입에 넣는다. ,죽었다. ,흙이다.
25,S,"1. 왜 젤리로 변하고 @@이야,,, 하면서 놔 둠",2. 싫다고 함,3. 이거 자르면 나도 죽을까하고 고민함
26,S,1.먹는다..,2.거절한다..,3.엥??? 라는 생각만 들다가 자른다... 생각함
27,S,먹는다,거절한다,사진찍고 뽑는다
28,S,1.어이가 없다,2.불쾌하다 거절할것이다,3.무거울것같아서 뽑아버릴수도있다
29,N,1. 맛만본다,2. 미쳤,3. 분무기로 물도 뿌려보고 햇빛에도 쬐여본다
30,S,1.먹는다,2.꺼지라고한다,3.셀카찍는다
31,S,1. 엥 ... 젤리 먹고 기타 새로 산다,2. 엥..? 일단 전기파리채로 죽인다,3. 엥??? 뽑는다?
32,S,1. 조금씩 뜯어 먹는다,2. 내 피는 빨아먹지 않기로 협상한다,3. 사진찍어 올리고 유퀴즈에서 연락올 때까지 기다린다
33,N,1. 먹어본다,2. 꺼지라고 한다,3. 이제 인싸다
34,N,1. 먹어 본다,2. 나는 물지말고 시키는 애 물어라한다,3. 뽑아본다. 피나나?
35,S,1. 짜증난다,2. 싫다,3. 무섭다
36,N,1. 일단 고이 모셔둔다 다시 변할 수도 있으니까,2. 암컷인지 수컷인지 알아본다(암컷이면 내 피를 빨 수도 있으니까) 내 피를 안 빨고 월세를 일부 부담하고 내가 잘때 근처에서 돌아다니지 않는다는 전제 하에 허락함,3.일단 모자를 쓰고 병원에 가서 해결방법을 알아본다
37,S,1.싫다,2.망했다,3.이상하다
38,S,기타젤리다,같이 안산다(사유:징그러움),해바라기프로펠러다
39,S,1. 기타가 젤리로 변하면 나는 ‘어리둥절’하다,2. 불사조 모기가 같이 살자고 하면 나는 ‘싫다고 말한다’,3. 정수리에 해바라기가 피면 나는 ‘뗀다’
40,N,1-슬프지만상하기전에먹는다,2-안물면같이산다고한다,3-사진동영상찍고떼어서꽃병에넣어놓고인터넷에글올린다
41,S,1. 나는 짜증 난다......,2. 나는 큰일 났다......,3. 나는 머리카락 자라는 화분이다......
42,N,"1. 유튜브에 올리거나 제보하고 비싸게 판다, 먼지가 안 묻게 잘 보관한다",2. 모기가 나랑 어떻게 대화했지? 말이 가능한 모기인가 아니면 모스부호같은 걸 날면서 표현하나,3. 키를 다시 잰다 (앗사 키컸다!)
43,N,1. 젤리가 다시 기타로 변할 때까지 젤리가 기억할 만한 음악을 들려주며 기다린다. 젤리를 신나게 한다.,2. 같이 살고싶다면 나를 위해 죽어줄 수도 있냐고 물어본다.,3. 우선 사진을 찍고 친구들한테 달려가 자랑한다.
44,S,1. 조금씩 뜯어먹어본다,2. 정중하게 거절한다,3. 이상태로 과연 출근할 수 있을까 고민한다
45,S,1. '아이고 내 돈'하며 운다,2. 욕하며 때려잡는다,3. 어느 병원에 가봐야할지 고민하다가 응급실 간다
46,N,먹는다,뱀파이어다,화분이다
47,N,먹어본다,싫다고한다,슬프다
48,S,속상하다,절대 안 된다,주변에 자랑하고 물 줘본다
49,N,1. 다시 변할 수 있으니까 기다린다,2. 도망친다,3. 잘라도 될지 고민하다 미용실에 간다
50,N,1. 좌절했다가 어떻게 하면 원래대로 돌아갈지 고민한다.,2. 왜 같이 살자 하는 건지 물어본다.,3. 사진 찍는다.
51,S,1. 살짝 뜯어먹어본다.,2. 다른 집 가라고 한다.,3. 셀카 한번 찍고 뽑아버린다.
52,S,보관한다,싫다,뽑는다
53,N,굴금해하다가 잘 간직,싫,처음엔 신기해서 사진찍어서 주변에 공유 하다가 안뽑히거나 안사라지면 평생 이렇게 살아야하나 해서 울거같음
54,N,1. 마법사,2. 나랑...왜...? 근데 말을 하는거니 지금..?,3. 엥 이거 근데 물 안주면 죽나
55,S,먹는다,물지 말라한다,스크롤을 내렸다
56,N,젤리다,모기장을 산다,꽃이다
57,S,1. 기타가 아깝,2. 싫다고 한,3. 울었
58,N,무슨 맛일까 나는 단거 안 좋아하는데 언제 다 먹지 이거 다 먹으면 당뇨 오겠는데,잠적한다,잘라서 꽃병에 꽂는다
59,S,먹는다,거절한다,뽑는다
60,S,당황스럽다,거절한다,자른다
61,S,1. 엉엉 운다,2. 싫다고 욕 한다,3. 창피해서 어디 나갈 수가 없다
62,S,먹었다,쫓아냈다,병원에 갔다
63,S,돈이 아깝다,싫,뜯어내려고 애를 쓴 후 사진을 찍고 병원 가본다
64,N,젤리에서 소리가 나나 분석해본다,이왕 이렇게된거 모기를 활용해 돈벌 방법을 궁리해보고 수익창출이 된다면 동거한다,틱톡영상을 찍어 관심종자가 된다
65,S,이게뭐지?,극혐한다,이게뭐지?
66,S,믿을 수 없다 기타를 다시 찾아본다,싫다고 한다,잘라낸다
67,S,망가지지않게 냉장고에 넣어둔다,거절한다,꿈인가 생각한다
68,N,당황스럽다,절대 빠져나오지 못하게 가둬둔다,병원에 가본다
69,N,그걸 다 먹어야겠다,소통이 된다면 친구가 될 수 있을텐데 그럼 날 냅두지 않을까,광합성 하러 밖에 나간다
70,S,젤리로 변한 기타를 맛본,먹이를 보장해 줄 수 없다고 한 후 그럼에도 불구하고 같이 살고싶다고 한다면 인간을 먹이로 삼지 않는다면 허락한,병원에 가야할지 고민한
71,N,1. 아까우니 버리진 못하겠어서 먹었다.,2. 알겠다고 하고 유리병 안에 가뒀다.,3. 신기해하면서 인스타에 올리고 햇빛을 쬔다.
72,S,1. 먹어버린다,2. 내쫓는다,3. 병원에 간다
73,N,1. 신기하다,2. 대화가 통할 정도면 이것저것 윤택한 삶을 위한 활용이 가능 할 것 같다,3. 불편하다
74,N,소리나는지 쳐본다,불사의 방법을 알려줄 수있는지 물어보고 가능하다고 하면 비법공유~ 조건으로 살자고하고 실험실에 보낸다,신경이 연결되어있는지 건드려본다
75,S,슬프다,도망친다,키운다
76,N,1. 왜이래 이거,2.뭐야 이거,3.이게 무슨일이고
77,N,"1. 아끼는 기타인데, 어떻게 먹거나 버림.. 그렇다고 냉동 보관하면 냉동실 공간 다 차지하니깐, 아이들 먹으라고 보육원에 기부한다.",2. 오키 하고 모기를 가둬서 연구소에 팔아서 죽지않는 방법에 대해 연구하도록 만든다.,"3. 함부로 잘랐다간 죽을 수도 있으니, 우선은 병원으로.. 설마 민주주의 국가에 날 연구소로 데려가진 않겠지..?"
78,S,1.어쩌겠냐며..버린다,2.나한테 이득이 뭐냐 묻는다,3.뜯어본다
79,N,나는 젤리를 장식했다,나는 싫다고 했다,나는 일단 모자로 가려봤다
80,N,1. 나는 연금술사다.,2. 나는 심심하지 않을 것 같다.,"3. 나는 친구에게 한번 슥 보여주고, 병원에 가서 수술 받을 것이다."
81,S,1. 도둑이 들었나 싶다,2. 이건 뭐지 싶다,3. 얜 또 뭐지 싶다
82,S,슬펐다,거절했다,놀랐다
83,S,먹는다,죽인다,키운다
84,S,운다,싫다고한다,인터넷에 찾아본다
85,S,맛있겠다,으x발,징그럽겠다
86,N,1.기타전문가와 젤리 전문가를 모시고 기타 복원이 가능한지 빌어본다,2.내피를 빨아먹지 않는 조건으로 같이살고 후대에 들려주고싶은 이야기들을 마구 전달해놓는다.,3.조화인지 생화인지 확인해보고 제거수술 가능한지 병원다녀본다
87,N,1. 다시 돌아올 수도 있으니 일단 두고 지켜본다 ,2. 불사조 모기를 잡아서 모기 호박으로 만든다,3. 아침에 등교해야하는데 머리에 해바라기 심고 다니는 관종으로 보일 순 없다. 해바라기를 똥머리처럼 말아서 캡모자에 욱여넣는다
88,S,맛있게 먹는,꺼지라고 한,뽑는
89,S,뭔가 싶다,싫다,힙하다
90,S,기타 아까워,죽인다,..어떡하지?
91,S,먹는다,가둔다,예쁘다
92,S,먹는다,죽인다,키운다
93,N,내가 아끼는 기타가... 슬프다,싫다고 한다,병원에 가본다
94,S,빡친다.,내가 왜,잣대따
95,N,투명케이스에 보관한다,모기를 신경쓰지 않는다,뿌리를 살펴보고 물을준다
96,N,개빡친다,내쫓는다,당황스럽다
97,S,먹는다,싫다,병원에 간다
98,S,개빡친다..,내보내버린다,모자만 쓰고 다닌다
99,S,뭐라는거야,뭐라는거야,뭐라는거야
100,S,우야노,거절한다,자른다
101,N,절망적이다 안 건드린다.…,싫다 쫓아낸다…,인터넷에 검색해본다.…
102,N,맛있을까,싫다고하고 도망간다,신기하다
103,S,먹는다,자살할까,자른다
104,S,운다,나가라한다,자른다
105,N,가장 아끼는 젤리가 생겼다,작은 모기장을 만들어 가둔다,해바라기이다
106,S,1. 가성비 박살난 상황이 짜증남,2. 무시하고 잡아 죽임,3. 사진찍음
107,S,먹었다,싫다,꽃이다
108,S,젤리가 생겼다,싫,어이가 없
109,N,내가 미쳤나 싶을 것 같다,사는 대신 베네핏은 없나요?,사진 엄청 찍어놓고 잘라낼 것 같다
110,S,새로산다,절대 싫다고 한다,병원간다
111,S,내기타 얼마짜린데...,싫어 모기극혐,병원가야지
112,N,다시 돌아올 때까지 기다리다가 100일 지나도 안 돌아오면 그냥 먹는다. ,가둬서 유튜브 컨텐츠 오지게 뽑은 다음에 연구센터에 거액을 받고 판다. ,유튜브 컨텐츠 오지게 뽑은 다음에 병원에 가서 안전하게 제거한다.
113,N,먹는다,죽인다,사진 찍는다
114,N,나는 너무 속상해서 눈물이 고였다,나는 어이없어서 웃음이 나왔다 혼자가 좋다고 대답한다,나는 귀요미다
115,N,젤리에서 소리가 날까 궁금했,모기의 과학적인 비밀을 밝혀내 인간에게 도입시킬수 있을까 생각했,본체가 사람인 꽃인걸까? 꽃인 사람인걸까? 정체성에 대해 고민하기 시작했
116,N,한입먹었다,일주일에 한번만 물라고 거래한다,침대 방향을 해 비추는 쪽으로 바꿔준다
117,N,그 젤리를 병에 담아 보관했다,그 모기를 병에 담아 보관했다,그 해바라기를 병에 담아 보관했다
118,S,눈물을 흘린다,ㅇㅋ ㄱ 대신 난 안물기?,뜯어본다
119,N,일단 무슨 맛인지 핥아본다,내 피를 먹지 않는다고 약속 하면 ㅇㅋ 한다,사진찍어 인스타 스토리에 올린다‘정수리에 해바라기 핌ㅋㅋㅋ’
120,N,망했다,망했다,해바라기다
121,S,짜증난다,싫다고 한다,엥? 하고 사진 찍는다
122,S,장식장에 보관한다,냉동실에 얼려버린다,잘라버린다
123,S,큰일났다,죽였다,해바라기다
124,S,꿈을 꾸고있다,꿈을 꾸고있다,꿈을 꾸고있다
125,S,황당하,그 불사조 모기를 영원히 가둔,뽑았
126,N,1. 엄청 맛있어한다. 굉장히 아꼈던만큼 맛도 굉장하겠지!!!!,2. 각서를 쓰자고 한다.. 나 물지마 물면 쫓아낼거임,3. 귀여울 것 같다ㅠㅠ 기분 좋으면 해바라기도 좌우로 살랑살랑 움직일듯 ㅠㅠㅠ
127,S,어쩌라고,개싫,해바라기
128,N,개빡친,개극혐한,기절한
129,S,먹을것이다,거절할것이다,떼어버릴 것이다
130,N,젤리로 변한 기타를 보고 허망하게 10분 있다가 해결방법을 고민해본다,집 밖으로 영원한 퇴출,잘라서 집에서 키우기
131,S,그렇구나,저리가라,자른다
132,N,소리가 나는지 쳐본다.,월세 같이 내주면 알겠다고 한다,해바라기 씨를 먹어본다
133,S,나는 하리보다 ,내 피를 먹지않겠다면 괜찮다...,오 귀여운데
134,S,기타 찾아보고 누가 훔쳐갔나 분실신고한다,에프킬라 뿌린다 창문열어서 밖으로 보낸다,화분에 옮겨심는다
135,N,나는 슬라임이다!,모기를 가지고 실험을 해본다!,밭 이다!
136,S,기타가 아까웠,싫다고 했,바로 뽑았
137,N,먹는다,진짜 안 죽는지 잡아본다,뽑는다
138,S,1. 모셔둔다,2. 전기파리채로 지져도 안죽는지 실험해본다,3. 병원에 간다
139,S,어이가없다,거절한다,내신경과이어져있는지확인하고자른다
140,S,아까웠,망했,망했
141,S,뭐?,싫다,뭐?
142,S,먹는다,꺼지라한다,원인을 알아본다
143,S,엉? 난 기타 없다,모기가 나랑 왜 같이 살아…,황당하다..
144,S,일단 냅둔다,평생 통에 가둔다,"어떡하지,,,,,,?"
145,N,개빡친,개빡친,개빡친
146,S,화난다,가둔다,유튜브를 찍는다
147,S,화가난,싫다고한,빼야한
148,S,화가난다,그러든가,오 대박
149,N,다시 돌아올수도있으니 우선 보관한다,평생 피를 줄순없으니까 다른곳알아보라 한다,해바라기에 무슨 기능이있는지 살펴본다
150,N,기타줄을 당겨본다 ,"날지 않고, 삐를 먹지 않으면 친구를 할 생각이 있지만, 그렇지 않으면 안되겠다고 거절한다.",사진과 동영상을 찍은다음 친구들에게 배포한다
151,S,되돌릴 방법이 없나 고민하다 화낸다,쫓아낸다,우산처럼 쓴다
152,S,뭔 말도 안되는걸 질문하는거지?,,걍 스크롤 내린다
153,N,꿈을꾸고있,통에가둔,흙이되어있었
154,S,젤리가 상하면 기타가 상할 수 있으니 시원한 곳에 보관한다,밀폐된 상자에 가둬서 땅 속에 묻는다,해바라기를 제거하면 내 건강에 영향이 있을지 알아본다
155,S,운다,싫다고한다,병원에간다
156,N,기타를 부둥켜안고 운다,진저리치며 저리 꺼ㅈ라고 한다,꽃핀 김에 셀카를 여러장 찍는다
157,S,1. 기타를 새로 산다.,2. 어떻게든 죽인다.,3. 그럴리가없다.
158,S,"1.내가 아끼는 기타였는데 .. 슬프게 됐군 ,.",2.싫다,3.나 특별한 존재인걸까
159,S,1. 기타가 젤리로 변할 리 없다. 꿈이네,2. 불사조 모기가 있을 수가 없고 모기가 말을 걸 리가 없다. 꿈이네,3. 정수리에 해바라기가 자랄 수 없다. 꿈이네
160,N,1 먹어본다,2 나를 안문다는 조건의 계약을 한다,3 셀카랑 동영상 찍어놓고 자른다
161,S,엥? 이다,싫다,사진찍고 뽑는다
162,N,1. 난 젤리 안좋아해 기타 돌려내,2. 짜증나게하지말고 으깨서 죽인다,3. 텔레토비 같이 귀엽네
163,S,어이없다,싫다고 한다,잘라낸다
164,S,1. 기타를 새로 산다,2. 거절한다,3. 병원에 간다
165,S,한입 먹어본다,싫,달고다닌
166,N,나는 살짝 먹어본다,나는 읭? 절대 못살아 라고 한다,나는 오 웃긴데? 사진 찍고 병원을 간다
167,S,1. 어이없어한다,2. 거절한다,3. 미친소됐네라고 말한다
168,N,왜 이런 일이 생겼는지 모르겠,거절한,일단 대책없이 즐겁
169,N,1. 맛을 본다!,2. 모기를 잡아서 연구소로 보낸다,3. 블라인드를 올리고 해를 비춰준다
170,S,1나는 (떠오르지 않음..) 다,2.나는 (싫)다,3.나는 (당황스럽)다
171,S,1. 먹는,2. 싫,3. 자른
172,S,1. 나는 사람이다,2. 나는 사람이다,3. 나는 땅이다
173,N,운다,도망간다,해바라기씨를 먹는다
174,N,1. 한번 쳐본다,2. 하.. 진짜 싫어,3. 나는 해바라기 인간이다
175,N,1 슬프다,2 거절한다,3 자른다
176,N,1. 신기하지만 슬플거 같다.,2. 미안하지만 그건 안될거 같다고 거절한다.,3. 믿을 수 없어서 인터넷에 검색해본다.
177,S,1 당황한다,2 거절한다,3 사진찍는다
178,S,짜증난다,싫다,곤란하다
179,S,1.젤리를 보관한다,2. 모기를 가둔다,3. 병원에 간다
180,N,1. 망연자실 하겠지만 일단 잘 보관해둔다,2. 날 물지 않고 다른 모기들을 대신 죽여주겠단 계약서를 작성,"3. 나같은 경우가 있는지, 해결 방안은 어떠했는지 무한서치"
181,N,1. 기타로 다시 되돌아 올 수도 있으니까 소중히 보관한다,2. 잡아서 상자에 가둔 뒤 창 밖으로 던져버린다,3. 물도 주고 잘 키우는 영상을 유튜브에 올려서 떼돈을 번다
182,N,1. 기타젤리를 먹어본다,2. 유리병에 가둔다,3. 큰모자로 안죽게 숨기고 병원에 가본다
183,S,1. 뭔소리냐,2. 윽 너무시러,3. 뽑아버림
184,S,당황스럽다.,도망간다.,꿈이라 생각하고 다시 잔다.
185,N,한입 깨물어본다,모기를 죽여본다,셀카 찍는다
186,S,1. 개빡친다..,2. 거절한다,3. 뽑아버린다
187,S,1. 손해봤다,2. 싫다,3. 병원에 간다
188,S,나는 아끼는 기타가 없다,나는 안믿는다,나는 꽃을 만져본다
189,N,1. 한 번 맛을 봐본다,2. 처죽인다,3. 물을 한 번 줘본다
190,S,1. 이게무슨일인가싶다,2. 싫다,3. 약간 정신나간 사람이다
191,N,1. 슬프다... 기타와 함께 즐겁게 연주하며 동거동락한 세월을 회상한다... 하지만 젤리는 맛있다,2. 너무 싫엉,3. 한층 더 귀여워진 내 모습에 만족한다 어떡하지 너무 귀엽다...
192,S,1.기타를 다시 산다,2.죽인다,3.뭐지? 뽑을까
193,S,1.먹는다,2.꺼지라고 한다,3.꿈인가싶다
194,N,미쳐버린,같이 못산,해바라기
195,S,먹어본다,거절한다,병원에간다
196,S,먹어본다,쫓아낸다,뽑아본다
197,S,뭔 소리야,말이되나,어이가없네
198,S,1.당황했다,2.싫다,3.당황했다
199,N,1. 다시 기타가 될지 모르니 일단 버리지 말고 냉장고행,2. 거절의 표시로 홈매트를 켜고 에프킬라를 온 집안에 뿌린다/ 그래도 안되면 잡아서 돈받고 과학기관에 넘긴다,3. 일단 병원에 가본다
200,S,먹는다,죽여버린다,말이 안된다
201,S,새 기타를 산다,꺼지라고 한다,잘라버린다
202,N,1. 나는 젤리기타 연주자~,2. 나에게 무슨 이득이 있지? 하지만 죽지않고 산다니 친구가 될 순 있겠네,3. 나는 해바라기 인간!
203,N,1.누가 바꿔놨는지 의심한다,2.저리가라고 한다,3.병원에간다
204,S,1 응,2 응,3 ㅇㅇ
205,S,1. 먹지않고 보관한다.,2. 이사간다.,3. 물을 준다.
206,N,1. 아끼는 기타라면 속상할 것 같은데.. 차라리 이 세상이 다 젤리가 된다면 속상하진 않을 것 같다.,"2. 협상한다. 내 피만 안 먹는다면, 잘 때 내 주면만 맴돌지 않는다면 같이 살 수 있다.",3. 해바라기 꺾일까봐 머리 박박 못 감을 것 같은데...걱정..
207,S,나는 놀란다,나는 싫다고 한다,나는 뽑아버린다
208,N,1. 다시 변할수도 있으니 고이 보관한다,2. 거절한다,3. 꿈인가?..
209,N,1. 단맛이 나는지 한번 핥아본다,2. 내 피를 먹을건지 물어본다,3. 거울 앞에서 한참 보다가 뽑히는지 뽑으면 아픈지 살짝 당겨본다
210,N,1 - 맛있게 먹는다,2 - 방 한쪽 내주는 대신 내 피는 안빨아 먹는다는 조건으로 합의를 본다,3 - 무슨 원리인지 생각해 본다
211,N,먹는다,싫다,소름돋는다
212,S,놀랐,혐오,병원갔
213,N,맛이 어떤지 궁금하니까 한번 핥아보고 혹시라도 돌아올 수 있을지도 모르니까 보관해둔다,"대신에 물지않기, 밤에 소리내지 않기를 지켜준다면 같이 살 수 있다고 말해준다",일단 사진 찍어서 sns에 올리고 세상에 이런일이에 제보한다
214,N,쳐도 끊어지나 안 끊어지나 쳐 봄,사라져 주세요,과학 기관에 돈 주시면 연구하실 수 있게 협조하겠다고 함
215,S,젤리를 먹는다,못산다,운다
216,S,당황할것이다,너무싫다 싫다고 말한다,당겨보고 안아프면 뽑는다
217,N,먹는다,같이 살기 싫다고한다,씨가 잘있는지 본고 다른곳에도 심어본다
218,N,나는 젤리다,죽였다,뽑아본다ㅜㅜ/텔레토비다
219,S,1. 빡친다,2. 왜냐고물어본다,3. 밖에나가지못한다
220,N,1. 대왕젤링 한번 때려본다! 근데 나중에 검나 슬플듯,2. 안돼!하고 방생한다,3. 한번 물을 줘본당
221,S,속상하다,너무 싫다,뽑아도 되는 건가
222,N,손상되지 않게 보존한다,가둬놓는다,사진을 찍는다
223,N,1. 내 기타 ㅠㅜ 고이 봉투에 담아 냉장 보관한다,2. 모기망에 넣어놓고 같이 산다,3. 기다렸다가 해바라기 씨 먹어야짐 ㅎㅎ
224,S,나는 속상하다,나는 질색하고 쫓아낸다,나는 없앨수있는지 당겨본다
225,S,1. ?,2. 미쳤다,3. 귀엽다
226,S,맛있겠다고 생각한다,거부한다,텔레토비가 됐다
227,S,1. ? ㄹㅇ 무슨 소리야,2. 거절한다,3. 뽑아본다
228,N,나는 좀 더 달콤하게 기타를 치는 사람이다,모기는 안돼 죽여버린다,머리를 세게 흔들어서 해바라기 씨를 수확해본다
229,S,빡침,나한테 왜 이러는건지 어질어질함,신기함
230,N,1. 젤리 기타도 소리가 나는지 확인해본다,2. 나를 물지않는 조건을 건다,3. 머리띠 쓴줄알면 어쩌지 하고 걱정한다
231,S,젤리다,알겠다,해바라기
232,S,슬프다,유리병에 가두고 바닷가에 던져버린다,자른다
233,N,울면서 기타를 알아봤다,진공에 가둬버린다,잘라서 꽃병에 보관한다
234,N,안 썩게 만든다,이유를 물어본다,"뭔 야 이건,,, ㅠ"
235,S,- 뭐래는 거야 ..,- 꺼지라고 했다.,- 엥 ?
236,S,1.안돼 내 기타ㅠㅠㅠㅠ,2.미치겠다 너무 싫어,"3.어떡하지, 뿌리까지 뽑힐까? 뽑아도 다시 자랄까? 남들 앞에 있을때 자라면 어떡하지?ㅠㅠ"
237,S,어이없다,꺼지라 욕한다,황당하다
238,S,뜯어먹어본다,정중하게 나가달라고 부탁한다,병원에 간다
239,S,먹고 새로산다,거절한다,병원간다
240,S,1. 유리통에 보관한다,2. 도망친다,3. 사진을 찍는다
241,S,1. 슬프다,2. 화난다,3. 병원에 간다
242,N,다시 기타로 돌아가게 하는법을 찾는다,불사조라고? 휴지로 꾹 눌러서 진짜 안죽는지 시험해본다,해바라기...... 안 뽑히면 그냥 같이 산다
243,S,1.먹어본다,2.싫다,3.운다
244,S,1. 보관한다,2. 다른집가서 살라한다,3. 해바라기 뽑아서 심는다
245,S,1.먹는다,2.죽고싶다,3.쓰다듬는다
246,S,1. 언제 다 먹음? = 먹는다,2. 가둔다 - 못 죽이니까,"3. 자른다 - 일단 해바라기가 자랄 때마다 자를듯, 나중엔 병원가거나, 뽑는 건 하이리스크"
247,S,나는 마법사다!,나는 도망간다!,나는 당황스럽다!
248,S,먹는다,거절한다,조금 더 귀여워져 버렸다
249,S,1. 먹는다,2. 싫다,3. ......? 당황한다
250,N,1. 운다,2. 운다,3. 운다
