,mbti,first_comment,second_comment,third_comment
448,N,젤리 기타? 신기해하며 작동이 잘 되는지 실험해본다,절대 싫다고 하고 분석해본다. 어떤 원리로 불사라는 거지?,한번 키워보며 관찰일지를 써본다. 내 뇌에 영향이 있을지 없을지도 생각해볼듯!
449,S,돈아까워한다,기겁한다,해바라기를 뽑는다
450,S,일단 한 입 먹어본다,다른 집을 찾아가라고 한다,내 뺨알때기 한 대 먼저 쳐본다
451,S,먹어본다,잡아서 가둬놓는다,해바라기 씨 뽑아보고 안 아프면 뽑아본다
452,N,나는 마법사다,나는 모기를 감금한다,나는 신나게 돌아다닌다
453,S,돈이 아까워졌다,소름끼쳤다,뿌리가 뇌에 박힌건지 걱정된다
454,S,젤리기타를 가진 사람,불사조 모기가 같이 살자고 한 사람,정수리에 해바라기가 핀 사람
455,S,화낸다,같이 살 다른 사람을 추천해준다,병원에 간다
456,S,먹는다,뭐래,..?
457,N,다시 기타로 돌아올 수도 있으니 안 먹고 놔둔다,창 밖으로 내쫓는다,혹시 나도 꽃...?
458,N,쳐본다,가둬둔다,꺾는다
459,N,나는 기타와 한 몸이 되었다,나는 매일 방충복을 입게되었다,나는 애니메 주인공이 되었다
460,N,1. 젤리를 한입 베어 먹어본다.,2. 진짜 안 죽는지 때려본다.,3. 일단 꽃을 꺾어서 구경한다.
461,N,나는 윌리 웡카다,나는 뭐든 죽이는 전기 파리채다,나는 강아지똥이다
462,S,(젤리를 싫어해서)동생에게 먹으라고준다,죽여본다,병원에 찾아가서 없애는방법을 알아본다
463,N,운다,싫다,자른다
464,S,나는 어이없다,나는 싫다,나는 개어이없다
465,N,운다,개빡친다,웃겨서 웃다가 현실을 자각하고 고뇌에 빠진다
466,N,먹어본다,거절한다,모자를 산다
467,S,1 망했다,2 피한다,3 물을 준다
468,N,1 이 기타가 얼마짜린데 미쳤나,2 같은 종끼리 만나라,3 뽑는다
469,N,부위별로 먹어본다.,때려죽인다..!,물을 줘본다
470,N,1.한입 먹어볼까 하다가 제일 아끼는 기타면 기타로 다시 변해서 연주해야되는데!? 싶어서 못 먹음,2. 단칼에 거절,3. 거실로 나가서 가족들한테 자랑함 그리고 어떻게 할지 고민
471,N,1. 맛을 본다...하지만 사진 찍는 것을 까먹어서 절망하며 한입 베어져 있는 기타젤리를 사진 찍어 친구에게 자랑한다.,2.완전 질색을 하며 제정신이냐고 물어보고 뒤도 돌아보지 않고 최대한 멀리 떨어진다. (가능하면 접근금지를 신청할 정도로 소름이 돋았다),3. 정수리에 있는 해바라기를 보다가 해바라기가 해빛을 따라 고개를 바꾼다는 것이 떠올라 내 머리 위에 있는 해바라기도 그러한지 2~3일에 걸쳐서 실험을 해본다
472,N,큰일이다,그건 안되는데,"귀여울듯, 밖에 나갈땐 모자로 가리고 다닌다"
473,S,나는 어이가 없다,나는 싫다,나는 웃긴다
474,N,1. 나는 안은영이다.,2. 나는 모기장이다.,3. 나는 화분이다.
475,S,1 따로 잘 보관한다,2 거절했는데 안되면 한곳에 가둬놓는다,3 사진이나 동영상 찍은 후 자른다
476,N,- 먹는다,- 평생 사람을 물지 않는 법을 가르쳐준다,- 인간 화분인가보다 하고 생각하고 세상에 이런일이에 제보한다
477,S,눈에 보이는 곳에 세워 놓는다,거절한다,해바라기가 맞는지 거울로 확인해 본다
478,S,1. 뭔소리야,2. 안문다는 전제조건하에,3. 웃는다
479,S,눈 비비고 다시 볼 것 같다,이상한 말 하지 말라면서 눈으로 욕한다,신기해하면서 사진 찍어둔다
480,S,아 내 돈...,지구 반대편가서 평생 혼자 살렴,출근하기 전에는 떼야하는데..
481,N,잘 보관해둔다.,잡아서 연구기관에 기증한다.,병원에 가본다.
482,N,놀라서 한참 쳐다보다 한 번 깨물어본다.. 뱃속에서 다시 원래소재로 돌아갈지도 모르니 삼키진않는다,모기가 말도 꺼내기전에 때려잡았다(애초에상종안함),머리를 어떻게 감아야할지 심란하다
483,N,1. 사진을 찍는다.. 그리고 혹시 젤리가 기타로 변했을지 모르니까 확인해본다. 한 입만 깨물어본다.,2. 대신 나를 물지 말라고 한다 . 약속을 어길시에는 유리병에 가두겠다고 협박한다.,3. 세상에 이런일이에 제보한다.
484,N,1. 내가 아끼는건데 이게 무슨일이야... 먹을 수 있나??,2. 나 안물면 같이살게 해줄게 근데 나랑살면 피 못먹을텐데 못먹으면 어떻게 살아갈려고??,3.미쳤네.. 병원가야되나.. 특이한 사례로 어디 잡혀가서 실험당하면 어떡하지
485,N,1. 슬프다,2. 헌터다,3. 화분이다
486,N,싫다,싫다,싫다
487,N,혹시 돌아올지도 모르니 보관한다,죽일 순 없으니 가둔다,자랑한다
488,S,어이없다,거절한다,뽑아버린다
489,S,기타를 새로산다,냐고 한다,우와 신기하다
490,N,어이없어하면서 사진이나 그림으로 기록한다,모기를 죽이려고 시도한다,건드리면 아픈지 거울을 보며 해바라기 줄기를 당겨본다
491,N,1 속상하지만 먹는다,2 에프킬라 뿌린다,3 햇빛 보여준다
492,N,1. 말랑...말랑.... 진짜 별 생각 안 드는데요 말랑말랑...,2. 이게 뭔 소리야 가세요,3. 햇빛 쬐러 간다
493,N,보관한다,거절하고 미안하다고 말한다,집에 나가지 않는다
494,N,1 기타를 아끼지 않는다,2 잡아서 연구소에 넘기고 돈을 받는다,3 해를 따라 진짜 움직이는지 본다(근데 아프지 않을까..)
495,S,그대로 놔둔다,죽인다/가둬놓는다/떠나보낸다,모자쓰고 등교
496,N,한입 먹어본다,내가 왜..?,사진 찍어서 올린다
497,S,헐 망했다 어떡하지,내 주변에 안 오고 눈에 띄지 않기로 약속하면 그렇게 하자,어떻게 숨길지 고민한다
498,S,먹어본다,왜? 나는 혼자 살고 싶고 집세는 내가 부담하고 있으니 거절한다 그래도 금전적 사정으로 갈이 살게되면 집세는 어떻게 나눠 부담할지 집안일 분담 어떻게 할지 누가 어디서 잘지 구체적인 걸 정하고 내 피를 빨면 바로 나가기로 계약 조항을 건다,광합성을 해줘야 하나?
499,N,1. 아끼는 기타가 젤리가 된건 아쉽지만 난 젤리를 좋아하니까 야금야금 먹는다,2.내 피 안뽑아 먹는다는 약속을 받아들인다면 좋다,3.이제 인간 해바라기다ㅏ 근데 다른 꽃이면 더 좋겠당
500,S,1. 얼탱이가 없다,2.가라고 한다.,3. 병원에 간다.
501,N,얌,으,꺄
502,S,1. 냅둔다,2. 가둔다,3. 병원간다
503,S,1.기타젤리도 연주가되나?한번 연주해본다,2.물지않을거냐고 물어보고 안물면 같이산다,3.오엥 물도 줘야하나??머리에다 물부어야하나?
504,S,엥이다,싫다,엥이다
505,N,기타를 쳐본다,넌 어떻게 말을 할 수 있냐고 물어본다,뽑아본다
506,N,하리보가 좋,너무 싫어서 도망가고 싶,줄기를 자를 수 있는지 확인한다
507,S,다시 기타로 변할때까지 놔둔다,병에 가둔다,그냥 평소대로 지낸다
508,S,1. 괄호에 어떤 말을 넣어야 할지 모르겠어요..,2. 싫,3. 징그럽
509,S,1. 뭔소리여,2. (안읽음),3. 징그럽다
510,S,1. 뭔소리야,2. 이건 뭐야,3. 와 이게 젤 뭔소린가 싶네
511,N,1. 슬프다,2. 진짜 싫다,3. 이게 가능한 일인가? 싶다
512,N,기타 헤드부분을 조심스럽게 베어 먹어본다.,피를 나도 빨아야 하는지 물어본다.,꽃이다
513,N,맛있겠다,싫다,잘라서 보관한다
514,N,나는 기왕 변한거 포도맛이길 바란다,나는 하루에 한 번 피를 줄테니 너 외에 다른 모기는 못 물게 지켜달라고 말한다,나는 반려식물이 생겼으니 자주자주 말을 걸어준다
515,N,1. 무슨 맛인지 궁금해서 조금 뜯어먹어본다,2. 모기 친구들 곁으로 보내준다,3. 햇볕 아래에 서있어보기
516,N,1.먹는다,2.가둔다,3.뽑아서 기른다.
517,S,1.돈이 너무 아깝다,2.뭐래 웃기지마,3. 자른다
518,S,믿기지 않았다,싫다고 한다,잘라버린다
519,S,나는 기타다,나는 싫다,나는 꽃이다
520,S,1 당황했,2 싫,3 최초의 식물인간?
521,S,나는 000이다…,나는 죽는다,나는 자른다
522,S,1.뭔소리야?,2.안죽을수가 있나?,3.꽃피였는데 어쩌라는거지
523,S,1. 뭐 어쩔거야 먹는다 ,2. 어떻게든 나에게서 떨어뜨려둔다 가둬놔야지,3. 뽑는건 안될거같고 매일 줄기 자름
524,N,1. 나는 젤리다.,2. 나는 불사조가 아니다.,3. 나는 해를 찾을 수 있다.
525,S,1. ?,2. ?,3. 꽃 단 미를 친 여자..?
526,S,1. 어이없,2. 싫,3. 귀엽
527,N,1. 악 내기타!! 내기타!! 내기타내놔!!! 근데 이걸 언제다먹어!!!ㅠㅠ,2. 아니? 절때안돼!! 너 미쳤구나?,3. 내머리에서 해바라기가 자랐다고? 일단 인방부터 켜야하나? 유튜브부터 시작해야하나? 그럼 내키는 해바라기가 자란만큼인건가?
528,S,1. 에?뭔소리지 아~... 슬프다,2. 싫다,3. 놀랬다
529,N,1. 깨물어 본다,2. 밖으로 당장 내 쫒는다,3. 정수리와 해바라기의 이어진 부분을 만져본다
530,S,슬프다,짜증난다,이런 것 좀 이제 그만 하면 안돼?
531,N,먹는다,죽인다 ,뗀다
532,S,1. 충격을 받는다,2. 거절한다,3. 사진을 찍어서 친구들에게 보낸다
533,S,오 신기해한다,싫다,우선 나가야하니까 꺾는다
534,S,그걸 나 보고 어쩌라고,그걸 나 보고 어쩌라고?,그걸 나 보고 어쩌라고??
535,N,안 돌아오는 건가..? 내 기타... 웨얼...,오바... 내가 왜...,헐 쩐다 꽃인간이 된 건가! 기분 안 좋으면 시드나?
536,N,줄을 잘라서 먹어본다. 다시 기타로 변해도 줄을 다시 끼울 수 있기 때문이다.,수혈팩을 구해줄테니 내 피를 먹지 말아달라고 한다.,"살짝 뽑아서 아픈지, 뿌리가 뇌랑 연결되있는건 아닌지 확인한다."
537,S,1. 기타를 다시 찾아본다.,2. 이사간다.,3. 꺾어서 버린다.
538,N,1. 내 기타.. 내 기타..!,2. 왜 같이 살자고 하지? 내 피 빨아먹게? 내가 잡아도 안죽나?,3. 뽑아보려고 시도한다 아플까
539,S,1. 먹어본다,2. 에프킬라 주스 한잔 건네준다,3. 사진찍는다
540,S,???,싫다,당황스럽다
541,S,아까워한다,거절한다,자르지 않을까? 일상생활 해야 하니까…
542,N,1. 젤리로 기타가 쳐지는지 실험한다,2. 싫다고 거절하고 도망간다,3. 머리위에 해바라기 씨앗 털어보기
543,S,1. 꿈이 덜 깼는지 확인해본다,2. 진짜로 불사조 모기인지 당장 때려잡아 본다,3. 이건 확실히 꿈일 것이다
544,N,"- 놀라며, 다시 기타로 변할 수도 있으니 소중히 보관한다.",- 미안하다고 하며 그건 절대 못하겠다고 거절한다.,"- 우왕? 이게 모지?하며 깜짝 놀라고 신기해하며 사진을 찍고, 햇빛을 보여준다."
545,S,먹어본다,싫다,신기해한딘
546,S,1. 황당하다,2. 거절한다,3. 혹시 내가 해바라기?
547,N,1.헐 이게 머지?? 하고 사진찍어서 SNS에 올린다!! 그리고 안먹고 진공상태로 만든담에 영원히 보관한다!! 아끼던 기타니까!!,2.평생 나 안무는 조건으로 동거를 허락한다!!!!,3.헐 내가 인간 헤헷몬이라니!!!하고 팬싸가서 여상이한테 보여주깈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
548,S,1. 어이없다,2. 거절한다,3. 이상하다
549,S,손해봤다,개싫,해바라기
550,N,1. 맛이 어떤지 살짝 맛보고 맛있으면 먹고 아니면 기타로 되돌릴 방법을 찾는다.,"2. 내 피 빨아먹지 않기, 월세는 어떻게 할건지 등등 정해서 각서 쓴다",3. 물을 자주 주지 못해 시들어버릴것같다
551,S,1. 연주 해본다,2. 도망간다,3. 헤헷몬이 되어 여상이를 보러간다
552,S,놀란다,무섭다,어떻게없애지?한다
553,S,부서지지 않게 보관한다,거절한다,모자를 쓴다
554,S,1. 행복하다,2. 싫다,3. 슬프다
555,S,젤리다,?,어쩌잔거지
556,S,1.기타못치겠다,2.신기하다,3.머리 어떻게 감지
557,S,1. 먹는다,2. 다른 사람 찾아가,3. 햇빛 쬐러 가기
558,S,먹는다,죽인다,뽑는다
559,N,1. 나늑 젤리연주가다!!!,2. 내가 젤 싫어하는 사람 말해주고 제발 그사람이랑 살라고 빈다,3. 머리에 해바라기를 달고사는 귀여웅 사람이네ㅎㅎ
560,S,1. 뭔소리야,2. 뭔소리야,3. 뭔소리야
561,N,헉 귀여울듯... 썩으면 어떡하지,와 버려버릴래,머리띠 같을 듯..?
562,N,1. 먹는,2. 죽인,3. 사진찍는
563,S,기타를 새로산다,거절한다,잘라버린다
564,N,짜증난다,절대안돼,병원에간다
565,S,보관한다,완전 싫다,사진찍고 뽑는다
566,N,열 받았다 내 돈!,싫다,놀랐다
567,S,먹었다,거절한다,해바라기다
568,N,젤리를 다시 기타로 되돌릴수 있는 방법을 강구해본다,으 절대 싫어 라고 말한다,정수리에 물을 줘본다
569,S,우선 보관해둔다 ,상자에 가둬놨다,병원에 가본다
570,S,슬프다,얘 왜이래.. 라고 생각한다,미용실에 간다
571,N,나는 대왕젤리다,나는 미안하지만 거절한다,나는 기분이 좋다!!!!!!!!!!!!!!!!!!
572,S,눈물난다,거절한다,사진을 찍는다
573,N,마법사다,거절한다,해바라기다
574,N,1. 그래도 줄은 칠 수 있지 않을까 한 번 쳐본다,2. 내 피를 먹지 않는 조건을 중심으로 타협한다,3. 그러면 해에 따라 방향이 바뀌는 건가? 밖에 나가서 실험하고 온다
575,S,1. 나는 짜증이 났다,2. 나는 모기를 플라스틱 통안에 가둬 버렸다,3. 나는 제거수술을 받기 위해 병원으로 향했다.
576,S,당황스럽다,알겠으니까 대신 나를 괴롭히지 말라고 한다,모자를 쓰고 다닌다
577,S,1. 나는 젤리다,2. 나는 불사조모기다,3. 나는 해바라기다
578,S,1. 내 돈,2. 절대 싫다,3. 자른다..
579,N,초콜렛이,협상을 한,요정인가보
580,S,아깝다,진짜 싫다,좀 신기할듯?
581,N,나는 운다,나는 (모기를) 죽인다,나는 너어무 깜짝 놀랜다
582,N,뭔 말도 안 되는 소리인가,극혐,뽑아야지
583,N,"1. 너무 아쉽지만,, 젤리 맛있게 먹는다",2. 싫다,3. 헐 너무 신기하다 ㅋㅋ
584,S,슬퍼한,거절한,숨긴
585,N,1. 다시 기타로 돌아올 수 있으니 먹지 않고 간직한다,2.꺼져 거절합니다,3. 해바라기 머리핀이라고 구라친다
586,S,1 나,2.나,3.미쳤나
587,S,핥아본다,벌레 연구가한테 데려간다,사진찍고 가위로 자른다
588,N,먹는다,가둔다,신기하다
589,S,슬프다 ,싫다,꿈이길 바란다
590,S,실망한다,싫다고 한다,놀랐지만 사진 찍어둔다
591,S,내 돈,미쳤나,징그럽다
592,S,그냥 먹는다,뭐라는겨; 너무 싫다,사진 찍어놓고 뽑는다
593,N,혹시 녹을까 봐 냉장고에 보관,도망간다,뿌리째 팔 수 있는지 먼저 보고 안 파지면 그대로 키운다
594,S,엥?,엥?,엥?
595,S,띠용.. 우선 보관한다,꺼지라고 한다,이게무슨/당황스러워한다/이게 나만 그런건지 검색해본다
596,N,울고 말았,바로 죽여버렸,일단 사진을 찍었
597,S,알수가없다,같이 살고싶지않다,떼버리고싶다
598,N,먹을 수 있을까,내 피를 먹으려나 안먹어도 싫음,해바라기를 뽑으면 다시 자랄까
599,S,뭔 말도 안되는 소리야,싫어,뭔 말도 안되는 소리야
600,S,망연자실한다,됐다고 한다,당황한다
601,N,1. 젤리상태에서도 연주가 되는지 쳐본다,2. 안죽는데 소통이 되는 모기라면 주기적으로 피주는 대가로 유용하게 써먹는다,3. 같은 사례가 있는지 찾아보고 병원간다
602,S,기타가 왜 젤리로?,그게 말이돼?,저게 뭔소리야
603,S,돈이 아깝다,미인가 생각한다,옛날 개그 프로 생각한다
604,S,먹는다,혐오한다,친구에게 찍어서 보여준다
605,N,1. 아마 당황하지 않을까,2. 모기를 설득해 다른 곳으로 가게끔 한다,3. 일단 꿈인지 확인할 것 같다
606,S,당황스러워하다가 소리는 안나는건지 연주해본다,모기가 어떻게 말을 걸지 생각하다가 진짜 안죽을까 하며 손바닥으로 때려본다,당황+황당 알수없는 두려움에 무서워하다가 햇볕에 정수리를 쬐어본다
607,S,절망한다,계속 잡아본다,모자쓰고 병원에 가본다
608,S,먹어야지,싫다.. 없애야지,자른다
609,S,1. 사람이,2. 싫,3. 꿈꾸는 중인 것 같
610,N,운다,동물농장에 제보해서 떼돈번다,뽑는다
611,N,환불하러 간다,쫒아낸다,인스타에 올린다
612,S,먹는다,싫다한다,거울을 본다
613,S,이게 무슨,가둔다,이게 대체
614,S,먹는다,극혐,자른다
615,S,1.그럴리가,2. 뭐라는거야,3. 럴리가
616,S,소중하게 모셔둔다,거절한다,병원에 간다..?
617,N,우와 무슨 맛일까 근데 아껴둬야지 ㅠㅠ,같이 사는 대신에 내 피는 먹지 말자 ..,예쁘다 머리에 물 부으면 자라나
618,N,나는 마법사다 ,나는 위대하다,나는 흙이 되었다.
619,N,화가난다,화가난다,화가난다
620,N,소리가 나는지 쳐본다,나는 물지 않기로 계약한다,물을 주면 나한테도 변화가 있는지 실험한다
621,N,냄새를 맡아보고 보관한다,허락해놓고 조그만 유리병에 가둔다,뽑히는지 당겨본다
622,N,슬퍼하며 투명 케이스에 넣어 전시한다,그건 힘들 것 같다고 거절한다,뽑히는지 확인한 후 물을 뿌려본다
623,N,버린다,내려친다,잡아당겨본다
624,N,살짝 먹어봤다,거절했다 ,셀카찍었다
625,N,먹는다,내쫓는다,자랑한다
626,N,어이없,소름끼치도록 무섭지만 태연하게 거절한,해바라기씨를 까먹는
627,N,젤리 싫어해서 너무너무 싫다,내쫓는다,머리띠같다 신기하다
628,N,먹어버린,내보낸,사진을 찍는
629,N,먹고싶어한,싫,꽃이
630,N,망했다.. ,상관없다 어차피 잘 안 물린다,말라죽기는 하나..? 제초제를 뿌렸다간 탈모가 생길 거 같은데 일단 두고본다
631,N,유튜브에 올린다,혈액 공급 협의를 본다,인스타에 올린다
632,N,젤리 기타를 가지고 있는 사람이다,싫다고 말한다,꽃이다
633,N,나는 망했다,나는 거절했다,나는 잘랐다
634,S,다시 산다,거절 한다,모자를 쓴다
635,N,슬프다,개뿍~친다,귀엽다
636,N,아끼던 기타였으니 사진은 한번찍고 맛있게 먹는다,대신 나는 안물겠다는 계약서를 쓴다,물을 주고 해바라기씨를 먹는다
637,N,꿈을 꾸고 있는 것,"모기를 데리고 장사(유튭 라이브, 아프리카티비, 트위치 등)",사진을 찍고 인스타나 트위터에 올려 인기스타가 된
638,S,안돼 하면서 욕한다,가둬놓는다,깜찍해졌군 한다
639,S,내돈아깝다고 생각한다,싫다고한다,개킹받는다
640,S,1. 하리보,2. 도망간다,3. 다시 잔다
641,S,1.일단 젤리는 맛있게 먹고 운다.,2.차라리 헌혈 하러 간다.,3.이게 뭐야? 일단 사진부터 찍고 병원을 간다.
642,S,1. 미쳤나..?,2. 뭔 소리야 죽여야지,3. 개싫다
643,S,1 당황스럽다,2 싫다,3 무섭다
644,N,1.개화난다,2.내 명령에 복종한다면 같이 살게해준다고 한다(싫어하는 사람 물게 만들거임),3.컬투
645,N,1.먹는다,2.알겠다고 한 뒤 조용히 죽인다,3.매일 자른다
646,N,1.이게뭔가싶다,2.가둔다음에 저 멀리 풀어줘서 나한테얼씬도못하게한다(사실 영원히감금시킬려고했는데 생각해보니 영원히 사니까 그건 좀 불쌍해서.. 멀리풀어줌),3.구글에 나와같은 상황이있는지 검색해본다
647,N,멍놀란다,me 쳣냐고 한다,멍놀란다
648,N,1. 냄새 맡고 기타를 쳐본다,2. 서로 피해 안주기로 약속하고 계약서를 쓴다,3. 너무 귀엽다
649,N,1. 낼부터 연주 어케 하지.. 왜 이렇게 됐지..,2. 모기가 어케 나한테 말을 걸지.. 절대 싫은데 우짜지..,3. 나만 이런가? 다른 사람들은..?(창밖 기웃기웃)
650,N,1. 소리 나오나 연주해보고 줄만 먼저 먹어본다. 먹다가 남으면 어떻게 보관하지? 개미 꼬일듯,"2. 말이 통하나 확인하고, 사육해서 모기계의 왕이 된다.",3. 밖으로 나가 방긋방긋 웃으며 마주치는 사람한테 웃음주기 꺄르륵
651,S,1. 먹는다,2. 싫다,3. 꽃이다
652,N,1. 짜증난다,2. 절대 싫다,3. 절망적이다
653,N,1. 일단 살짝 맛본다,2. z...ㄹㅏㄹ..하지말라고한다,3. 일단 꺾는다
654,S,먹어본다,싫다,뽑으면 아플까 싶어서 만져본다
655,S,1. 아놔 내 기타!!!!! 근데 무슨 맛일까,2. 심한 욕하면서 화냄,3. 엥… 이거 실화?
656,N,"1. 다른 내가 아끼는것들도 살펴본다. (이것도 변했나 혹시,,?)",2. 싫다고 한다.,"3. 이걸 누구한테 말해야하나,,연구소 가는걸까,,?"
657,N,운다,차라리 내가 죽는다,구글에 검색한다
658,S,새로 기타를 산다,불사조 모기를 가둬서 같이 산다,해바라기를 자르고 다시 자라나면 뽑아버린다
659,N,1. 먹는다,2. 이사감,3. 유튭각!
660,N,눈물난다,거절한다,셀카 찍고 인스타 스토리에 올린다
661,N,하리보 곰돌이 젤리 중에 무슨 색이려나,싫다고 거절한다,그럼 햇빛이 머리에 안오고 해바라기한테 집중되나? 여름에 좀 덜 더울까?
662,S,먹는다,먹는다,해바라기씨 먹는다
663,S,그알에 제보한다,모기를 잡는다,잘라버린다
664,N,1. 울면서 내 두 눈을 의심한다,2. 죽을래? 하면서 내쫓는다,3. 우선 셀카를 찍고 뽑기를 시도한 뒤 병원에 간다
665,N,1) 빡치네 하고 젤리 한입 먹어본다,2) 너 어떻게 말할수 있어? 넌 불사조지만 난 죽어. 내가 얻는게 뭔데? 왜 나를 골랐어?,3) 일단 해바라기를 자르면 내 몸의 일부라 피가 나올것 같아서 인터넷에 비슷한 증상을 가진 사람들이 있나 찾아본다.
666,S,어이없ㄴ는데 귀엽다,미친거 아니냐고 쫓아낸다,미용실에 간다...
667,N,개빡치지만 이미 변한걸 우째.. 일단 조금 먹어본다,너가 불사조든 뭐든 눈에 띄는순간 조져줌,주변 사람들한테 자랑함
668,N,엥?,에엥?,헐… 뭐됐다
669,S,ㅇㄴ이게 얼마짜린디; 일단 따로 보관,때려죽이거나 가둬서 연구소에 실험체로 기부,만저보고 아프지않다면 잘라버림
670,N,화가 난다,다른 사람의 피를 추천해준다,하루종일 밖에 돌아다니면서 즐기다가 뽑는다
671,S,슬플 것 같다,냅다 도망간다,자랑한다
672,S,일단 냅둔다,싫다고 한다,사진찍고 널리 알린다
673,S,집에 기타 없음,협상,출근 어케함
674,N,1.변상해달라한다,2.계약서써서 내가 물리면 쫓아냄,3.머리를 감아본다.
675,S,이게 뭐고,꺼져,이게 뭐야...
676,N,와구와구 먹어본다 그럼 내 기타는..??,너 나랑 어떻게 대화하는거야? 넌 왜 안죽니 과학 실험 자료로 쓰이도록 한다,오 너무 귀여워 근데 다른 사람들도 이런게 생겼을려나 머리를 도리도리 해본다 이 해바라기를 뽑으려고 하면 아픈가 확인한다
677,S,1. 말도 안된다고 생각한다.,2. 말도 안된다고 생각한다.,3. 꽃을 관찰한다.
678,S,당황스럽다,미치고 팔짝뛴다,이게 뭔가 싶다
679,N,다시 기타로 되돌아갈 때까지 고이 모셔둔다,내 피를 뽑아가지 않겠다는 각서를 받고 일단 허락했다,엄마에게 알리고 대책을 강구했다
680,N,어이없고 슬프다..,거절하고 가둬둔다 내 거절을 거절할 수 있으니까,당황한다 일단 사진 찍어둔다
681,N,다시 기타로 변할 때까지 갖고 있는다,벌레 채집장같은 곳에 넣어둔다,물을 줘본다
682,N,혹시 나도...? 거울 본다,모기가 잘 때 몰래 내보냄,사진부터 찍고 친한 친구들한테 보낸다 그 후에 어떻게 해야 할 지 심각히 고민
683,N,미다스의 황금손을 잇는 젤리손으로 유명해질 것이다,방 하나를 내줄테니 월세를 내면 같이 살아준다고 한다,앞으로 해바라기를 위해 낮에는 해가 있는 방향을 바라보고 살아야 한다
684,S,1. 뭐야 내 기타 내놔 이게 얼마인데,2. 죽인다,3. 자른다
685,S,먹어본다,멍싫다,셀카찍는다
686,S,젤리를 다시 기타로 바꾸기 위해 노력한다,가둔다,해바라기 바로 자르고 머리가 다시 날 수 있을지 확인한다
687,S,기타회사를 고소한다,연구소에 기부한다,임상실험 포상 의뢰한다
688,N,실망한다,나는 빨지 말아달라고 부탁한다,해바라기 인간이다
689,N,먹어서 내가 기타 그자체가 됐다,집 나가서 신분세탁 했다,그 모습 그대로 브이로그 찍어서 유튜브에 올렸다
690,S,뜯어먹어본다,자결한다,해바라기씨있나확인한다
